ARI,NMI,FMI,Silhouette,Davies_Bouldin,Calinski_Harabasz,n_clusters_found,n_noise_points,class_,algorithm,natural_ratio
0.10153986312310614,0.13594617711970225,0.6895105548625918,0.4889913144191944,0.8245650319695305,3045.9355864720633,2,0,BARBUNYA,KMeans,0.0976150040611386
0.10771767672310625,0.1464464736790706,0.6922798687089912,0.4889203767992592,0.8278763052241901,3021.252628468659,2,0,BARBUNYA,GMM,0.0976150040611386
-0.04483913977934994,0.015080758696681745,0.8719571675614639,0.6130536433944127,0.44704758886342977,1020.2484600714339,2,0,BARBUNYA,SpectralClustering,0.0976150040611386
0.033362717490025326,0.08574931120525,0.4954788987444418,-0.040778452922212986,0.7027059983826988,665.1719429881803,19,992,BARBUNYA,DBSCAN,0.0976150040611386
-0.04286913109347304,0.012302886779625799,0.8701484464025887,0.609028075552438,0.4096897975331718,804.7613203998322,2,27,BARBUNYA,HDBSCAN,0.0976150040611386
0.03511092144890572,0.08196109444131491,0.7012500852411682,0.4799337770476991,0.8396213882112598,2907.568038458813,2,0,BOMBAY,KMeans,0.03854389721627409
0.03568937897238055,0.08230861584914267,0.7017287421200805,0.4786996924134583,0.8449643174375638,2871.4174006847707,2,0,BOMBAY,GMM,0.03854389721627409
1.0,1.0,1.0,0.6181562515717852,0.44598519956225396,1185.7536882051322,2,0,BOMBAY,SpectralClustering,0.03854389721627409
-0.01034304214923666,0.04802220873664677,0.49264516423816035,-0.08111996752372791,0.7931365983680092,799.9691950753552,16,1034,BOMBAY,DBSCAN,0.03854389721627409
0.9700067066687434,0.8965024992313512,0.9977095294281847,0.6137367114325986,0.4269597333209351,1023.7258656394254,2,21,BOMBAY,HDBSCAN,0.03854389721627409
0.15266183210628878,0.21649726396630684,0.695701737816287,0.4758316746198077,0.8537469434240175,2829.9030880109635,2,0,CALI,KMeans,0.12035738019641143
-0.050584184006528185,0.019058817693133983,0.8466287640103775,0.6166455844500989,0.45049628481436876,1176.8851679807901,2,0,CALI,GMM,0.12035738019641143
-0.050584184006528185,0.019058817693133983,0.8466287640103775,0.6166455844500989,0.45049628481436876,1176.8851679807901,2,0,CALI,SpectralClustering,0.12035738019641143
0.06387924302546637,0.1410464472248154,0.5047989793505667,0.05493474790362772,0.7398874725230097,850.9941180835758,16,1035,CALI,DBSCAN,0.12035738019641143
-0.047201105537197294,0.012202707307094406,0.8441604515443284,0.6091005197123549,0.4255089710311036,929.9943250081371,2,31,CALI,HDBSCAN,0.12035738019641143
0.1137200552733707,0.2561140817714918,0.6119297865640884,0.47761193951608827,0.8478704534785053,2852.582152141209,2,0,DERMASON,KMeans,0.2618326810898619
0.11714309803032799,0.2498498102878356,0.612717464426224,0.47461989979925223,0.8536552416630642,2811.3061546651243,2,0,DERMASON,GMM,0.2618326810898619
-0.039725829700987064,0.030575953226431057,0.7449920948738566,0.6223682305319443,0.4530857844923301,1132.8824077731622,2,0,DERMASON,SpectralClustering,0.2618326810898619
0.030337084611511526,0.1482589274937567,0.431515722088903,0.09058852247412208,0.8226057041623691,991.5118170200161,13,1065,DERMASON,DBSCAN,0.2618326810898619
-0.0414327121013238,0.028484672312760057,0.7425073124913592,0.6175298459178593,0.418662684962777,917.7771615491678,2,27,DERMASON,HDBSCAN,0.2618326810898619
0.18658394054977495,0.23119521978148486,0.7009504725330317,0.4788514119025218,0.8478010043262408,2881.885747213261,2,0,HOROZ,KMeans,0.13734032341431
0.19011369856615246,0.23311205284298306,0.7027286240330867,0.47739196016660224,0.8539425703690628,2840.710072499319,2,0,HOROZ,GMM,0.13734032341431
0.1808934759574529,0.2259049544779956,0.6982200695678124,0.4763218270298851,0.8510256407704477,2857.314741135674,2,0,HOROZ,SpectralClustering,0.13734032341431
0.07042995171943879,0.20352175983282664,0.5176843237366574,0.006780148451364829,0.7450981798406903,901.5407229430701,13,1109,HOROZ,DBSCAN,0.13734032341431
-0.04658062092561582,0.017483946114768046,0.8283780582690737,0.6128064721633113,0.41951299894755323,1043.873452575193,2,26,HOROZ,HDBSCAN,0.13734032341431
-0.010670291158358014,0.1509983500516168,0.6183575224859158,0.48194124284382345,0.8465736257979399,2875.009599124874,2,0,SEKER,KMeans,0.14967141696817543
-0.015949958166012638,0.14792705540013212,0.6179661837807162,0.48260606704730785,0.8504054664094269,2845.6640788613377,2,0,SEKER,GMM,0.14967141696817543
-0.049181414742886675,0.021251130787942427,0.8231659982000253,0.6150288075329505,0.46201280796130845,1124.9160731963757,2,0,SEKER,SpectralClustering,0.14967141696817543
0.12074933966804283,0.22544458266661432,0.5413299283641414,0.118837689606491,0.7580340157002423,1012.5981844440158,12,1013,SEKER,DBSCAN,0.14967141696817543
-0.04801360988416224,0.01828789990212622,0.8222790169784732,0.6071742241217777,0.43212880698727074,894.0354597811041,2,24,SEKER,HDBSCAN,0.14967141696817543
-0.0012109105186829492,0.056147402448345415,0.5927880399147702,0.4809266403923765,0.8354464309187155,2927.4144708554304,2,0,SIRA,KMeans,0.19463929705382854
0.002677472419657426,0.08282908415900211,0.595835706477339,0.48116987320374965,0.8399385326918586,2896.1079309939455,2,0,SIRA,GMM,0.19463929705382854
-0.04910221784866118,0.026439296929280737,0.785997737750565,0.6158158497170844,0.4469652050444357,1187.7291138841535,2,0,SIRA,SpectralClustering,0.19463929705382854
-0.002086298953713563,0.12103955268895762,0.4349293226172705,0.26228178244797296,0.8313165883491312,1700.2971291861697,8,1040,SIRA,DBSCAN,0.19463929705382854
-0.0517344176778156,0.02693340728440926,0.7836162125933073,0.6113501726038683,0.4368035181788758,1080.3801361506462,2,15,SIRA,HDBSCAN,0.19463929705382854
